step,train_loss,tps,peak_mem_gb
1,10.940288037061691,34847.878741440414,2.5135397911071777
2,10.008586376905441,39450.59050669881,2.8173956871032715
3,9.64765539765358,44772.75300271533,2.8173956871032715
4,9.428450226783752,44024.72228385752,2.8173956871032715
5,9.270690202713013,43898.11926300169,2.8173956871032715
6,9.104313284158707,43250.891768335016,2.8173956871032715
7,8.983888894319534,43612.98904343824,2.8173956871032715
8,8.854431301355362,43048.027613715865,2.8173956871032715
9,8.722128629684448,43617.034026083784,2.8173956871032715
10,8.629933208227158,43933.38960541001,2.8173956871032715
11,8.515159219503403,43985.56391760933,2.8173956871032715
12,8.45569223165512,44093.43955813828,2.8173956871032715
13,8.36251014471054,43071.244913709954,2.8173956871032715
14,8.271389931440353,43238.917672948926,2.8173956871032715
15,8.195530384778976,44497.99458728799,2.8173956871032715
16,8.174312606453896,43911.47842197993,2.8173956871032715
17,8.07321511209011,43327.61500674595,2.8173956871032715
18,8.001435652375221,44150.81307614796,2.8173956871032715
19,7.962599456310272,43007.904991359785,2.8173956871032715
20,7.903940141201019,44210.57229773525,2.8173956871032715
21,7.780121371150017,43233.10310429664,2.8173956871032715
22,7.733550325036049,44677.64002547594,2.8173956871032715
23,7.69527080655098,43084.34182187119,2.8173956871032715
24,7.6568475514650345,43577.44693698375,2.8173956871032715
25,7.566163092851639,43603.770394451516,2.8173956871032715
26,7.50196173787117,43275.82391164914,2.8173956871032715
27,7.492898553609848,44157.660972992424,2.8173956871032715
28,7.4067240208387375,43937.606612046344,2.8173956871032715
29,7.405708476901054,43812.2366372896,2.8173956871032715
30,7.315428927540779,44090.306409592085,2.8173956871032715
31,7.277121216058731,43866.772963544005,2.8173956871032715
32,7.269936740398407,44159.9736374774,2.8173956871032715
33,7.193668693304062,43588.17502288801,2.8173956871032715
34,7.167653068900108,44112.22656730749,2.8173956871032715
35,7.108211860060692,44004.95298727836,2.8173956871032715
36,7.113547131419182,43254.958345699255,2.8173956871032715
37,7.093659043312073,44116.577104047574,2.8173956871032715
38,7.000848680734634,43946.68593036648,2.8173956871032715
39,6.988207146525383,43307.026983202566,2.8173956871032715
40,6.965401589870453,43625.21625007241,2.8173956871032715
41,6.976792737841606,43743.240269867674,2.8173956871032715
42,6.86668074131012,44062.89444894353,2.8173956871032715
43,6.900703310966492,43958.97093261279,2.8173956871032715
44,6.862123280763626,43556.462117172654,2.8173956871032715
45,6.86023373901844,43949.103031116996,2.8173956871032715
46,6.799897685647011,43875.9070694572,2.8173956871032715
47,6.819224059581757,43106.24629664609,2.8173956871032715
48,6.742347449064255,44053.49876342996,2.8173956871032715
49,6.7496267557144165,44114.562794440026,2.8173956871032715
50,6.679201275110245,43462.03947331285,2.8173956871032715
51,6.72730128467083,44220.89944784587,2.8173956871032715
52,6.701106294989586,42829.30588027881,2.8173956871032715
53,6.697544619441032,43380.76250919094,2.8173956871032715
54,6.681317001581192,44462.31927141931,2.8173956871032715
55,6.680091559886932,43869.331810151976,2.8173956871032715
56,6.681800127029419,44722.55177942217,2.8173956871032715
57,6.6374742686748505,44007.30252441149,2.8173956871032715
58,6.591434001922607,44444.41861922939,2.8173956871032715
59,6.620451807975769,44393.337354302974,2.8173956871032715
60,6.576554551720619,43897.684613303616,2.8173956871032715
61,6.533172845840454,43941.62423055013,2.8173956871032715
62,6.5699997544288635,43423.32646318673,2.8173956871032715
63,6.543103337287903,43485.82945587799,2.8173956871032715
64,6.570324718952179,41035.62704857798,2.8173956871032715
65,6.501073569059372,42461.46234478559,2.8173956871032715
66,6.518288105726242,43707.54123714209,2.8173956871032715
67,6.483094230294228,41037.31791496053,2.8173956871032715
68,6.498587042093277,44315.11156230498,2.8173956871032715
69,6.452870428562164,45062.50969893152,2.8173956871032715
70,6.48302860558033,44590.32158856826,2.8173956871032715
71,6.409628063440323,44476.28315757803,2.8173956871032715
72,6.477238729596138,43714.58252860124,2.8173956871032715
73,6.444898292422295,45204.90691818118,2.8173956871032715
74,6.4327732771635056,43483.55934563136,2.8173956871032715
75,6.432094797492027,43782.95843422487,2.8173956871032715
76,6.420754626393318,43802.95102383883,2.8173956871032715
77,6.4300955682992935,43458.51444582106,2.8173956871032715
78,6.374210387468338,43374.87550915135,2.8173956871032715
79,6.391142845153809,43771.91818404394,2.8173956871032715
80,6.350717917084694,44055.563987635884,2.8173956871032715
81,6.382607489824295,43644.77395088322,2.8173956871032715
82,6.357083037495613,43629.637451110124,2.8173956871032715
83,6.3973191529512405,43673.978598824884,2.8173956871032715
84,6.291352167725563,44188.266621183444,2.8173956871032715
85,6.30916254222393,43328.540425514475,2.8173956871032715
86,6.341391608119011,43055.43797063364,2.8173956871032715
87,6.312919333577156,43745.642004411675,2.8173956871032715
88,6.238258868455887,42661.20985740947,2.8173956871032715
89,6.302494153380394,42968.192922527625,2.8173956871032715
90,6.288150802254677,42930.24367081367,2.8173956871032715
91,6.243395611643791,41912.37124141111,2.8173956871032715
92,6.19924733042717,43018.856018683175,2.8173956871032715
93,6.214573934674263,42133.13284545508,2.8173956871032715
94,6.247141510248184,42409.71446340726,2.8173956871032715
95,6.243132263422012,43095.828421858816,2.8173956871032715
96,6.246989041566849,41189.861855871546,2.8173956871032715
97,6.187442734837532,42759.603183256426,2.8173956871032715
98,6.242627441883087,43306.19117888013,2.8173956871032715
99,6.218088865280151,41138.286703924576,2.8173956871032715
100,6.180748388171196,43182.71115969273,2.8173956871032715
101,6.17847266793251,44114.902629910495,2.8173956871032715
102,6.141076326370239,43544.46655982709,2.8173956871032715
103,6.1817429810762405,43114.97848218686,2.8173956871032715
104,6.110423728823662,43352.20153817268,2.8173956871032715
105,6.166081458330154,42789.42655754201,2.8173956871032715
106,6.135577097535133,42480.24304299202,2.8173956871032715
107,6.1481650322675705,42260.3180300712,2.8173956871032715
108,6.195977970957756,42758.27622604318,2.8173956871032715
109,6.113414376974106,42386.296166785054,2.8173956871032715
110,6.169113203883171,42216.87378413234,2.8173956871032715
111,6.113807216286659,43282.38260623242,2.8173956871032715
112,6.076516002416611,42858.89915093891,2.8173956871032715
113,6.073732405900955,42430.6041311651,2.8173956871032715
114,6.071008384227753,42052.44141294403,2.8173956871032715
115,6.036614328622818,42611.02846921412,2.8173956871032715
116,6.103250876069069,43945.86038274022,2.8173956871032715
117,6.033878892660141,43282.409867293085,2.8173956871032715
118,6.11349456012249,43714.645097133354,2.8173956871032715
119,6.061996713280678,43729.458021993756,2.8173956871032715
120,6.040648281574249,42939.005300870565,2.8173956871032715
121,6.041066229343414,42903.943389713604,2.8173956871032715
122,6.069053530693054,43129.3505081129,2.8173956871032715
123,6.017319515347481,42745.61275162593,2.8173956871032715
124,6.025485783815384,44321.36376688023,2.8173956871032715
125,6.001011222600937,42763.99703039366,2.8173956871032715
126,5.990712195634842,42320.41468163761,2.8173956871032715
127,6.007246777415276,42290.31084707501,2.8173956871032715
128,6.048793122172356,43071.66672605362,2.8173956871032715
129,5.985148683190346,43437.99063376998,2.8173956871032715
130,6.0495230704545975,42110.42856802541,2.8173956871032715
131,5.978398337960243,43485.40637190715,2.8173956871032715
132,5.95099139213562,41547.967869609005,2.8173956871032715
133,5.943203449249268,42636.385462972736,2.8173956871032715
134,5.955205664038658,42773.180125507126,2.8173956871032715
135,6.002241849899292,43985.63430278326,2.8173956871032715
136,5.991144850850105,44257.35327548448,2.8173956871032715
137,5.959147363901138,44351.86049452346,2.8173956871032715
138,5.988240361213684,43739.14400659529,2.8173956871032715
139,5.999736696481705,44328.04306987259,2.8173956871032715
140,5.936098426580429,44232.40937625439,2.8173956871032715
141,5.91375070810318,42964.109572130445,2.8173956871032715
142,5.944491684436798,43337.47223597156,2.8173956871032715
143,5.9044958502054214,43651.656390181575,2.8173956871032715
144,5.944063052535057,43983.385607844364,2.8173956871032715
145,6.010765016078949,44015.314676588336,2.8173956871032715
146,5.933014497160912,43436.024085623096,2.8173956871032715
147,5.8637790232896805,44904.40375325783,2.8173956871032715
148,5.9245335310697556,44274.66851231761,2.8173956871032715
149,5.8962846249341965,43952.9083955923,2.8173956871032715
150,5.858115062117577,43959.49467370086,2.8173956871032715
151,5.857679545879364,44427.6633072516,2.8173956871032715
152,5.876035571098328,43519.89923977339,2.8173956871032715
153,5.898283764719963,43663.447523564115,2.8173956871032715
154,5.860855087637901,43760.06143521295,2.8173956871032715
155,5.877229169011116,43115.24560827145,2.8173956871032715
156,5.896820887923241,43516.74372720392,2.8173956871032715
157,5.828203201293945,43942.85003141311,2.8173956871032715
158,5.91401332616806,42952.360838205575,2.8173956871032715
159,5.848383828997612,42196.715429204945,2.8173956871032715
160,5.864465340971947,43247.584622415015,2.8173956871032715
161,5.848703667521477,43275.30952149861,2.8173956871032715
162,5.836200788617134,42005.83467197897,2.8173956871032715
163,5.867071226239204,42421.822858063984,2.8173956871032715
164,5.8681662529706955,43059.137360759305,2.8173956871032715
165,5.849377006292343,42608.07932777059,2.8173956871032715
166,5.880669251084328,42296.87684149114,2.8173956871032715
167,5.83858585357666,42409.328417528945,2.8173956871032715
168,5.844569727778435,42903.52820431338,2.8173956871032715
169,5.82937952876091,44109.73486442307,2.8173956871032715
170,5.863585561513901,43262.688652090525,2.8173956871032715
171,5.76373003423214,43447.22858516851,2.8173956871032715
172,5.798744648694992,42932.44631591574,2.8173956871032715
173,5.819824308156967,43206.66824805199,2.8173956871032715
174,5.754871666431427,42600.07610110249,2.8173956871032715
175,5.76175631582737,42929.84809030767,2.8173956871032715
176,5.795247912406921,43122.6013292367,2.8173956871032715
177,5.789869874715805,42324.151756212384,2.8173956871032715
178,5.828903242945671,43521.61498340536,2.8173956871032715
179,5.823659002780914,42938.73029295191,2.8173956871032715
180,5.772913947701454,43338.90371730736,2.8173956871032715
181,5.763713762164116,43195.75037575387,2.8173956871032715
182,5.761298552155495,43240.58412420751,2.8173956871032715
183,5.787393286824226,42529.228344071314,2.8173956871032715
184,5.754934057593346,43387.760533979104,2.8173956871032715
185,5.750703737139702,42709.886975024514,2.8173956871032715
186,5.7690339833498,43551.966027686794,2.8173956871032715
187,5.762054517865181,42338.38278930402,2.8173956871032715
188,5.77764455974102,42049.758843684016,2.8173956871032715
189,5.744898691773415,42973.08993674287,2.8173956871032715
190,5.753916263580322,43205.860082082014,2.8173956871032715
191,5.75748211145401,42418.78856523466,2.8173956871032715
192,5.68032643198967,42584.11494824119,2.8173956871032715
193,5.798152223229408,42001.800606210025,2.8173956871032715
194,5.668824955821037,43255.43481484745,2.8173956871032715
195,5.726759850978851,43157.767577134815,2.8173956871032715
196,5.7233485877513885,43177.73573620226,2.8173956871032715
197,5.730436757206917,42174.86144682295,2.8173956871032715
198,5.790297254920006,42492.21439470278,2.8173956871032715
199,5.7155004143714905,42465.004601620676,2.8173956871032715
